Bird Species,Extinct or Missing Bird Species
Common Ostrich,Mauritius Sheldgoose
Struthio camelus,Alopochen mauritiana
,Extinct
Somali Ostrich,Reunion Sheldgoose
Struthio molybdophanes,Alopochen kervazoi
,Extinct
Greater Rhea,Crested Shelduck
Rhea americana,Tadorna cristata
,Extinct
Lesser Rhea,Amsterdam Wigeon
Rhea pennata,Mareca marecula
,Extinct
Southern Brown Kiwi,Mascarene Teal
Apteryx australis,Anas theodori
,Extinct
North Island Brown Kiwi,Pink-headed Duck
Apteryx mantelli,Rhodonessa caryophyllacea
,Extinct
Okarito Kiwi,Labrador Duck
Apteryx rowi,Camptorhynchus labradorius
,Extinct
Little Spotted Kiwi,New Zealand Merganser
Apteryx owenii,Mergus australis
,Extinct
Great Spotted Kiwi,New Zealand Quail
Apteryx haastii,Coturnix novaezelandiae
,Extinct
Southern Cassowary,Himalayan Quail
Casuarius casuarius,Ophrysia superciliosa
,Extinct
Dwarf Cassowary,Jamaican Poorwill
Casuarius bennetti,Siphonorhis americana
,Extinct
Northern Cassowary,Brace's Emerald
Casuarius unappendiculatus,Riccordia bracei
,Extinct
Emu,Gould's Emerald
Dromaius novaehollandiae,Riccordia elegans
,Extinct
Grey Tinamou,Snail-eating Coua
Tinamus tao,Coua delalandei
,Extinct
Solitary Tinamou,St. Helena Cuckoo
Tinamus solitarius,Nannococcyx psix
,Extinct
Black Tinamou,Bonin Wood Pigeon
Tinamus osgoodi,Columba versicolor
,Extinct
Great Tinamou,Ryukyu Wood Pigeon
Tinamus major,Columba jouyi
,Extinct
White-throated Tinamou,Rodrigues Pigeon
Tinamus guttatus,Nesoenas rodericanus
,Extinct
Highland Tinamou,Passenger Pigeon
Nothocercus bonapartei,Ectopistes migratorius
,Extinct
Tawny-breasted Tinamou,Spotted Green Pigeon
Nothocercus julius,Caloenas maculata
,Extinct
Hooded Tinamou,Norfolk Ground Dove
Nothocercus nigrocapillus,Pampusana norfolkensis
,Extinct
Berlepsch's Tinamou,Tanna Ground Dove
Crypturellus berlepschi,Pampusana ferruginea
,Extinct
Cinereous Tinamou,Thick-billed Ground Dove
Crypturellus cinereus,Pampusana salamonis
,Extinct
Little Tinamou,Choiseul Pigeon
Crypturellus soui,Microgoura meeki
,Extinct
Tepui Tinamou,Dodo
Crypturellus ptaritepui,Raphus cucullatus
,Extinct
Brown Tinamou,Rodrigues Solitaire
Crypturellus obsoletus,Pezophaps solitaria
,Extinct
Undulated Tinamou,Red-moustached Fruit Dove
Crypturellus undulatus,Ptilinopus mercierii
,Extinct
Pale-browed Tinamou,Mauritius Blue Pigeon
Crypturellus transfasciatus,Alectroenas nitidissimus
,Extinct
Brazilian Tinamou,Reunion Rail
Crypturellus strigulosus,Dryolimnas augusti
,Extinct
Grey-legged Tinamou,Hawkins's Rail
Crypturellus duidae,Diaphorapteryx hawkinsi
,Extinct
Red-legged Tinamou,Chatham Rail
Crypturellus erythropus,Cabalus modestus
,Extinct
Yellow-legged Tinamou,Bar-winged Rail
Crypturellus noctivagus,Hypotaenidia poeciloptera
,Extinct
Black-capped Tinamou,Dieffenbach's Rail
Crypturellus atrocapillus,Hypotaenidia dieffenbachii
,Extinct
Thicket Tinamou,Tahiti Rail
Crypturellus cinnamomeus,Hypotaenidia pacifica
,Extinct
Slaty-breasted Tinamou,Wake Island Rail
Crypturellus boucardi,Hypotaenidia wakensis
,Extinct
Choco Tinamou,Tristan Moorhen
Crypturellus kerriae,Gallinula nesiotis
,Extinct
Variegated Tinamou,Samoan Woodhen
Crypturellus variegatus,Gallinula pacifica
,Extinct
Rusty Tinamou,Mascarene Coot
Crypturellus brevirostris,Fulica newtonii
,Extinct
Bartlett's Tinamou,White Swamphen
Crypturellus bartletti,Porphyrio albus
,Extinct
Small-billed Tinamou,North Island Takahe
Crypturellus parvirostris,Porphyrio mantelli
,Extinct
Barred Tinamou,Ascension Crake
Crypturellus casiquiare,Mundia elpenor
,Extinct
Tataupa Tinamou,St. Helena Rail
Crypturellus tataupa,Aphanocrex podarces
,Extinct
Red-winged Tinamou,St. Helena Crake
Rhynchotus rufescens,Zapornia astrictocarpus
,Extinct
Huayco Tinamou,Kosrae Crake
Rhynchotus maculicollis,Zapornia monasa
,Extinct
Taczanowski's Tinamou,Tahiti Crake
Nothoprocta taczanowskii,Zapornia nigra
,Extinct
Ornate Tinamou,Hawaiian Rail
Nothoprocta ornata,Zapornia sandwichensis
,Extinct
Chilean Tinamou,Laysan Rail
Nothoprocta perdicaria,Zapornia palmeri
,Extinct
Brushland Tinamou,Red Rail
Nothoprocta cinerascens,Aphanapteryx bonasia
,Extinct
Andean Tinamou,Rodrigues Rail
Nothoprocta pentlandii,Erythromachus leguati
,Extinct
Curve-billed Tinamou,Alaotra Grebe
Nothoprocta curvirostris,Tachybaptus rufolavatus
,Extinct
White-bellied Nothura,Atitlan Grebe
Nothura boraquira,Podilymbus gigas
,Extinct
Lesser Nothura,Colombian Grebe
Nothura minor,Podiceps andinus
,Extinct
Darwin's Nothura,New Caledonian Buttonquail
Nothura darwinii,Turnix novaecaledoniae
,Extinct
Spotted Nothura,Canary Islands Oystercatcher
Nothura maculosa,Haematopus meadewaldoi
,Extinct
Dwarf Tinamou,Javan Lapwing
Taoniscus nanus,Vanellus macropterus
,Extinct
Elegant Crested Tinamou,Kiritimati Sandpiper
Eudromia elegans,Prosobonia cancellata
,Extinct
Quebracho Crested Tinamou,Tahiti Sandpiper
Eudromia formosa,Prosobonia leucoptera
,Extinct
Puna Tinamou,Moorea Sandpiper
Tinamotis pentlandii,Prosobonia ellisi
,Extinct
Patagonian Tinamou,North Island Snipe
Tinamotis ingoufi,Coenocorypha barrierensis
,Extinct
Horned Screamer,South Island Snipe
Anhima cornuta,Coenocorypha iredalei
,Extinct
Northern Screamer,Great Auk
Chauna chavaria,Pinguinus impennis
,Extinct
Southern Screamer,Guadalupe Storm Petrel
Chauna torquata,Hydrobates macrodactylus
,Extinct
Magpie Goose,Jamaican Petrel
Anseranas semipalmata,Pterodroma caribbaea
,Extinct
White-faced Whistling Duck,St. Helena Petrel
Dendrocygna viduata,Pseudobulweria rupinarum
,Extinct
Black-bellied Whistling Duck,Olson's Petrel
Dendrocygna autumnalis,Bulweria bifax
,Extinct
Spotted Whistling Duck,Spectacled Cormorant
Dendrocygna guttata,Urile perspicillatus
,Extinct
West Indian Whistling Duck,Reunion Ibis
